order_braun;adjective;shorthand;text;page;corpus;
551;common;SS;pce;110;B;
552;common;SS;pce;127;B;
553;common;SS;pce;135;B;
554;common;SS;pce;159;B;
555;common;SS;pce;178;B;
556;common;SS;pce;185;B;
557;common;SS;pce;207;B;
558;common;SS;pce;221;B;
559;common;SS;pce;222;B;
560;common;SS;pce;223;B;
561;common;SS;pce;230;B;
562;common;SS;pce;232;B;
563;costly;KA;tbw;276;B;
564;cosy;KS;lat;83;B;
565;cosy;KS;ta;22;B;
566;dirty;KA;rat;120;B;
567;dirty;KS;tul;256;B;
568;discreet;SA;ta;12;B;
569;early;KS;tbw;156;B;
570;early;KS;tul;13;B;
571;early;KS;tul;24;B;
572;early;KS;tul;29;B;
573;early;KS;tul;48;B;
574;early;KS;tul;143;B;
575;early;KS;tul;157;B;
576;early;KS;tul;157;B;
577;early;KS;tul;162;B;
578;early;KS;tul;175;B;
579;early;KS;tul;195;B;
580;early;KS;tul;224;B;
581;early;KS;tul;231;B;
582;early;KS;tul;247;B;
583;early;KS;tul;258;B;
584;early;KS;tul;274;B;
585;early;KS;tul;274;B;
586;early;KS;tul;279;B;
587;early;KS;tul;298;B;
588;early;KS;tul;333;B;
589;early;KS;pce;233;B;
590;early;KS;lat;135;B;
591;early;KS;ta;21;B;
592;early;KS;ta;67;B;
593;early;KS;ta;136;B;
594;early;SS;tbw;69;B;
595;early;SS;tbw;152;B;
596;early;SS;tbw;154;B;
597;early;SS;tbw;205;B;
598;early;SS;pce;34;B;
599;easy;KS;tbw;57;B;
600;easy;KS;tbw;72;B;
601;easy;KS;tbw;82;B;
602;easy;KS;tbw;144;B;
603;easy;KS;tbw;211;B;
604;easy;KS;tbw;211;B;
605;easy;KS;tbw;233;B;
606;easy;KS;tbw;265;B;
607;easy;KS;tul;33;B;
608;easy;KS;tul;43;B;
609;easy;KS;tul;43;B;
610;easy;KS;tul;51;B;
611;easy;KS;tul;100;B;
612;easy;KS;tul;114;B;
613;easy;KS;tul;114;B;
614;easy;KS;tul;163;B;
615;easy;KS;tul;244;B;
616;easy;KS;tul;282;B;
617;easy;KS;tul;294;B;
618;easy;KS;tul;323;B;
619;easy;KS;tul;337;B;
620;easy;KS;tul;339;B;
621;easy;KS;tul;343;B;
622;easy;KS;pce;9;B;
623;easy;KS;pce;74;B;
624;easy;KS;pce;90;B;
625;easy;KS;pce;157;B;
626;easy;KS;awb;69;B;
627;easy;KS;awb;169;B;
628;easy;KS;awb;200;B;
629;easy;KS;ja;78;B;
630;easy;KS;ja;232;B;
631;easy;KS;rat;42;B;
632;easy;KS;rat;145;B;
633;easy;KS;ta;23;B;
634;easy;KS;ta;71;B;
635;easy;KS;ta;83;B;
636;easy;KS;ta;105;B;
637;easy;KS;ta;105;B;
638;easy;KS;ta;108;B;
639;easy;KS;ta;148;B;
640;easy;KS;ta;186;B;
641;easy;SS;tbw;92;B;
642;easy;SS;tbw;115;B;
643;easy;SS;tbw;303;B;
644;easy;SS;tul;141;B;
645;easy;SS;awb;147;B;
646;easy;SS;awb;147;B;
647;easy;SS;awb;147;B;
648;exact;KA;ta;46;B;
649;flashy;KS;tul;107;B;
650;flashy;KS;tul;194;B;
651;friendly;KS;pce;24;B;
652;friendly;SA;ta;312;B;
653;gassy;KS;tbw;132;B;
654;gentle;KA;ta;272;B;
655;gentle;KS;tul;86;B;
656;gentle;KS;tul;86;B;
657;gentle;SS;tbw;203;B;
658;glossy;KS;tul;213;B;
659;greedy;KA;rat;98;B;
660;handsome;KA;tul;163;B;
661;handsome;KA;rat;37;B;
662;handsome;KA;ta;12;B;
663;handy;SS;tbw;94;B;
664;happy;KA;awb;129;B;
665;happy;KS;tul;43;B;
666;happy;KS;tul;43;B;
667;happy;KS;tul;83;B;
668;happy;KS;tul;84;B;
669;happy;KS;tul;114;B;
670;happy;KS;tul;114;B;
671;happy;KS;tul;196;B;
672;happy;KS;tul;284;B;
673;happy;KS;tul;299;B;
674;happy;KS;tul;304;B;
675;happy;KS;pce;22;B;
676;happy;KS;pce;196;B;
677;happy;KS;awb;160;B;
678;happy;KS;ja;233;B;
679;happy;KS;lat;237;B;
680;happy;KS;lat;254;B;
681;happy;KS;lat;255;B;
682;happy;KS;ta;57;B;
683;happy;KS;ta;123;B;
684;happy;KS;ta;134;B;
685;happy;SS;ja;64;B;
686;happy;SS;rat;111;B;
687;healthy;KA;tul;169;B;
688;healthy;KS;tul;182;B;
689;healthy;KS;tul;216;B;
690;healthy;KS;tul;274;B;
691;healthy;KS;rat;165;B;
692;healthy;KS;rat;165;B;
693;heavy;KS;tbw;100;B;
694;heavy;KS;tbw;107;B;
695;heavy;KS;tbw;107;B;
696;heavy;KS;tbw;242;B;
697;heavy;KS;tbw;280;B;
698;heavy;KS;tul;92;B;
699;heavy;KS;tul;354;B;
700;heavy;KS;ta;153;B;
701;holy;KS;tul;204;B;
702;homely;KA;tul;111;B;
703;homely;KA;tul;154;B;
704;homely;KA;tul;351;B;
705;homely;KA;ta;236;B;
706;intense;KA;lat;146;B;
707;likely;KA;tbw;23;B;
708;likely;KA;tbw;27;B;
709;likely;KA;tbw;31;B;
710;likely;KA;tbw;66;B;
711;likely;KA;tbw;91;B;
712;likely;KA;tul;31;B;
713;likely;KA;tul;62;B;
714;likely;KA;tul;74;B;
715;likely;KA;tul;140;B;
716;likely;KA;pce;184;B;
717;likely;KA;lat;33;B;
718;likely;KA;lat;115;B;
719;likely;KA;lat;155;B;
720;likely;KA;ta;174;B;
721;lofty;SA;ta;184;B;
722;lofty;SS;ta;298;B;
723;lonely;KS;pce;109;B;
724;lovely;SS;pce;130;B;
725;lucky;KS;tul;18;B;
726;mangy;KS;lat;230;B;
727;mellow;KA;lat;182;B;
728;messy;KS;tul;147;B;
729;mucky;SS;rat;107;B;
730;murky;KS;tbw;290;B;
731;narrow;KA;tul;343;B;
732;narrow;KS;tul;220;B;
733;narrow;KS;tul;233;B;
734;narrow;SS;lat;33;B;
735;naughty;SS;rat;122;B;
736;noble;KS;pce;216;B;
737;noisy;SS;ja;50;B;
738;pleasant;KA;tbw;72;B;
739;pleasant;KA;tbw;192;B;
740;pleasant;KA;tbw;297;B;
741;pleasant;KA;tul;178;B;
742;pleasant;KA;tul;194;B;
743;pleasant;KA;rat;216;B;
744;pleasant;KS;ta;176;B;
745;pretty;KS;lat;88;B;
746;pretty;SS;rat;8;B;
747;pretty;SS;rat;109;B;
748;puffy;KA;lat;233;B;
749;pure;KS;ta;89;B;
750;pure;KS;ta;232;B;
751;pure;SS;tbw;33;B;
752;quiet;KS;tul;174;B;
753;quiet;KS;tul;254;B;
754;quiet;KS;tul;328;B;
755;quiet;KS;lat;222;B;
756;quiet;KS;ta;179;B;
757;quiet;KS;ta;270;B;
758;ready;KS;tul;73;B;
759;ready;KS;tul;188;B;
760;ready;KS;tul;335;B;
761;remote;KA;ta;215;B;
762;remote;SA;tbw;85;B;
763;remote;SA;tbw;192;B;
764;remote;SS;tbw;153;B;
765;remote;SS;rat;126;B;
766;remote;SS;ta;79;B;
767;shallow;KS;tul;192;B;
768;shiny;KS;tul;356;B;
769;silly;KS;tul;111;B;
770;silly;KS;pce;177;B;
771;silly;KS;ta;157;B;
772;simple;KS;tbw;11;B;
773;simple;KS;tbw;53;B;
774;simple;KS;tbw;91;B;
775;simple;KS;tbw;97;B;
776;simple;KS;tbw;105;B;
777;simple;KS;tbw;125;B;
778;simple;KS;tbw;244;B;
779;simple;KS;tbw;254;B;
780;simple;KS;tbw;269;B;
781;simple;KS;tul;301;B;
782;simple;KS;ta;87;B;
783;simple;SS;tbw;37;B;
784;simple;SS;tbw;267;B;
785;simple;SS;tbw;280;B;
786;simple;SS;tbw;300;B;
787;simple;SS;tul;106;B;
788;simple;SS;tul;200;B;
789;simple;SS;tul;200;B;
790;simple;SS;rat;49;B;
791;simple;SS;rat;104;B;
792;simple;SS;rat;213;B;
793;simple;SS;lat;26;B;
794;simple;SS;ta;165;B;
795;sober;KA;tul;193;B;
796;sober;KA;tul;244;B;
797;sober;KA;tul;335;B;
798;soggy;SS;awb;182;B;
799;speedy;KS;tbw;291;B;
800;stately;KA;ta;247;B;
801;steady;KS;tul;252;B;
802;steady;KS;ta;152;B;
803;sticky;KS;tbw;81;B;
804;subtle;KA;tbw;156;B;
805;subtle;KA;tul;322;B;
806;subtle;KA;rat;50;B;
807;tasty;KS;tul;38;B;
808;tatty;SS;rat;33;B;
809;thirsty;KS;tbw;13;B;
810;tidy;KS;ja;64;B;
811;ugly;KA;tul;197;B;
812;unfree;KA;tul;186;B;
813;unfree;KA;tul;186;B;
814;witty;SS;pce;111;B;
