order_braun;pattern;text;adjective;form;page;category;corpus
355;l;asil;clumsy;a;46;S;A
356;l;asil;easy;s;95;S;A
357;l;asil;easy;s;112;S;A
358;l;asil;dirty;s;120;S;A
359;l;asil;heavy;s;126;S;A
360;l;asil;tender;s;200;S;A
361;l;asil;intense;a;253;S;A
362;l;asil;easy;s;256;S;A
363;l;asil;lovely;s;286;S;A
364;l;asil;funny;s;338;S;A
365;l;hp;foggy;s;62;S;A
366;l;aw;happy;s;24;S;A
367;l;aw;lousy;s;31;S;A
368;l;sea;pretty;s;2;S;A
369;l;sea;early;s;9;S;A
370;l;sea;pretty;s;12;S;A
371;l;sea;simple;s;16;S;A
372;l;sea;happy;s;18;S;A
373;l;sea;common;a;22;S;A
374;l;sea;likely;a;25;S;A
375;l;sea;tricky;s;27;S;A
376;l;seb;happy;s;3;S;A
377;l;seb;dire;s;3;S;A
378;l;seb;pretty;s;5;S;A
379;l;seb;lovely;s;12;S;A
380;l;seb;happy;s;15;S;A
381;l;seb;lovely;a;16;S;A
382;l;seb;catchy;s;18;S;A
383;l;seb;heavy;s;26;S;A
384;l;sec;early;s;1;S;A
385;l;sec;early;s;6;S;A
386;l;sec;lively;s;14;S;A
387;l;sec;lazy;s;19;S;A
388;l;sec;simple;s;22;S;A
389;l;sma;zany;s;4;S;A
390;l;sma;crazy;s;4;S;A
391;l;sma;gentle;s;21;S;A
392;l;sma;heavy;s;40;S;A
393;l;smb;unkind;s;2;S;A
394;l;smb;sexy;s;4;S;A
395;l;smb;zany;s;7;S;A
396;l;smb;racy;s;11;S;A
397;l;smb;happy;s;21;S;A
398;l;smb;dishy;s;26;S;A
399;l;smb;smelly;s;32;S;A
400;l;smc;severe;a;4;S;A
401;l;smc;nasty;s;12;S;A
402;l;smc;dirty;s;23;S;A
403;l;smc;flimsy;s;26;S;A
404;l;cop;easy;s;26;S;A
405;l;cop;early;s;33;S;A
406;l;cop;easy;s;64;S;A
407;l;cop;able;s;106;S;A
408;l;cop;early;s;128;S;A
409;l;cop;remote;s;174;S;A
410;l;cop;busy;s;223;S;A
411;l;cop;bitter;s;228;S;A
412;l;cop;early;s;247;S;A
413;l;gc;busy;s;220;S;A
414;l;sta;severe;a;12;S;A
415;l;sta;severe;s;17;S;A
416;l;sta;nasty;s;28;S;A
417;l;sta;clever;s;30;S;A
418;l;sta;tricky;s;31;S;A
419;l;sta;early;s;37;S;A
420;l;sta;nasty;s;41;S;A
421;l;sta;funny;s;52;S;A
422;l;sta;easy;s;52;S;A
423;l;stb;able;s;4;S;A
424;l;stb;bitter;a;4;S;A
425;l;stb;cruel;a;13;S;A
426;l;stb;heavy;s;21;S;A
427;l;stb;lively;s;29;S;A
428;l;stb;silly;s;31;S;A
429;l;stb;simple;s;31;S;A
430;l;stb;funny;s;43;S;A
431;l;stb;giddy;s;63;S;A
432;l;stc;stormy;s;11;S;A
433;l;stc;common;a;11;S;A
434;l;stc;lively;s;12;S;A
435;l;stc;early;s;13;S;A
436;l;stc;common;s;26;S;A
437;l;stc;common;s;26;S;A
438;l;stc;early;s;29;S;A
439;l;stc;early;s;30;S;A
440;l;stc;funny;s;30;S;A
441;l;stc;dirty;s;41;S;A
442;l;stc;common;a;43;S;A
443;l;stc;common;a;48;S;A
444;l;stc;pretty;s;48;S;A
445;l;std;happy;s;3;S;A
446;l;std;severe;a;4;S;A
447;l;std;likely;a;13;S;A
448;l;std;simple;s;15;S;A
449;l;std;quiet;s;17;S;A
450;l;std;heavy;s;19;S;A
451;l;std;narrow;s;30;S;A
452;l;std;pretty;s;32;S;A
453;l;std;simple;s;33;S;A
454;l;std;pretty;s;34;S;A
455;l;std;dirty;s;37;S;A
456;l;std;early;s;39;S;A
457;l;std;early;s;39;S;A
458;l;std;early;s;52;S;A
459;m;was;common;s;85;S;A
460;m;was;likely;a;175;S;A
461;m;bow;pure;s;81;S;A
462;m;bow;likely;a;106;S;A
463;m;bow;likely;a;163;S;A
464;m;asil;tricky;s;311;S;A
465;m;sea;noble;s;15;S;A
466;m;seb;happy;s;18;S;A
467;m;sec;lively;s;18;S;A
468;m;smb;dishy;s;19;S;A
469;m;smb;easy;s;21;S;A
470;m;smb;crusty;s;27;S;A
471;m;cop;humble;s;96;S;A
472;m;cop;discreet;a;229;S;A
473;m;cop;lonely;s;321;S;A
474;m;gc;simple;s;215;S;A
475;m;stb;easy;s;20;S;A
476;m;stb;pushy;s;32;S;A
477;m;stc;easy;s;12;S;A
478;m;stc;nasty;s;26;S;A
479;m;std;likely;a;6;S;A
480;n;was;heavy;s;250;S;A
481;n;bow;noisy;s;41;S;A
482;n;asil;snappy;a;186;S;A
483;n;sea;happy;s;2;S;A
484;n;seb;cruel;a;11;S;A
485;n;sec;clever;s;28;S;A
486;n;sma;raunchy;s;12;S;A
487;n;sma;pretty;s;15;S;A
488;n;cop;hearty;s;304;S;A
489;n;stb;simple;s;32;S;A
490;n;std;early;s;1;S;A
491;n;std;tender;s;12;S;A
492;n;std;easy;s;62;S;A
493;o;bow;austere;a;189;S;A
494;o;cop;austere;a;104;S;A
495;o;stb;spicy;s;32;S;A
496;a1;tbw;pleasant;a;297;C;B
497;a1;pce;common;s;49;C;B
498;a1;pce;noble;s;216;C;B
499;a1;lat;happy;s;237;C;B
500;a2;tbw;early;s;156;C;B
501;a2;tul;early;s;13;C;B
502;a2;tul;lucky;s;18;C;B
503;a2;tul;early;s;29;C;B
504;a2;tul;easy;s;33;C;B
505;a2;tul;early;s;48;C;B
506;a2;tul;early;s;143;C;B
507;a2;tul;early;s;157;C;B
508;a2;tul;quiet;s;174;C;B
509;a2;tul;early;s;175;C;B
510;a2;tul;early;s;195;C;B
511;a2;tul;healthy;s;216;C;B
512;a2;tul;narrow;s;220;C;B
513;a2;tul;early;s;231;C;B
514;a2;tul;early;s;247;C;B
515;a2;tul;early;s;258;C;B
516;a2;tul;early;s;279;C;B
517;a2;tul;early;s;298;C;B
518;a2;tul;subtle;a;322;C;B
519;a2;tul;early;s;333;C;B
520;a2;tul;sober;a;335;C;B
521;a2;pce;common;s;38;C;B
522;a2;pce;common;s;59;C;B
523;a2;pce;common;s;60;C;B
524;a2;pce;common;s;69;C;B
525;a2;pce;early;s;233;C;B
526;a2;rat;easy;s;42;C;B
527;a2;rat;healthy;s;165;C;B
528;a2;rat;healthy;s;165;C;B
529;a2;lat;quiet;s;222;C;B
530;a2;ta;early;s;67;C;B
531;a2;ta;pure;s;89;C;B
532;a2;ta;early;s;136;C;B
533;a2;ta;heavy;s;153;C;B
