adjective	form	category	text	genre	publication_date	corpus	pattern	position	than_compl	definite	verb_pattern	coordinated	page	text_details
happy	s	C	lat	fiction	1962	B	c4	postnominal	0	0	1	0	254	J. Braine, Life at the top
intense	a	C	lat	fiction	1962	B	c1	postnominal	1	0	0	0	146	J. Braine, Life at the top
cosy	s	C	lat	fiction	1962	B	b2	predicative	0	0	0	0	83	J. Braine, Life at the top
likely	a	C	lat	fiction	1962	B	b2	predicative	0	0	0	0	115	J. Braine, Life at the top
blotchy	a	C	lat	fiction	1962	B	e1	predicative	1	0	0	1	233	J. Braine, Life at the top
likely	a	C	lat	fiction	1962	B	b2	predicative	0	0	0	0	155	J. Braine, Life at the top
pretty	s	C	lat	fiction	1962	B	a3	attributive	0	1	0	0	88	J. Braine, Life at the top
mellow	a	C	lat	fiction	1962	B	c2	postnominal	0	0	0	0	182	J. Braine, Life at the top
simple	s	S	lat	fiction	1962	B	l	attributive	NA	NA	NA	0	26	J. Braine, Life at the top
likely	a	C	lat	fiction	1962	B	b2	predicative	0	0	0	0	33	J. Braine, Life at the top
puffy	a	C	lat	fiction	1962	B	e1	predicative	1	0	0	1	233	J. Braine, Life at the top
common	s	C	pce	nonfiction	1969	B	b2	predicative	0	0	0	0	85	F.V. Bywater, A proficiency course in English
common	s	S	pce	nonfiction	1969	B	m	attributive	NA	NA	NA	1	222	F.V. Bywater, A proficiency course in English
common	a	C	pce	nonfiction	1969	B	b1	predicative	1	0	0	0	205	F.V. Bywater, A proficiency course in English
common	s	S	pce	nonfiction	1969	B	l	attributive	NA	NA	NA	0	75	F.V. Bywater, A proficiency course in English
common	s	C	pce	nonfiction	1969	B	a2	attributive	0	0	0	0	38	F.V. Bywater, A proficiency course in English
common	s	S	pce	nonfiction	1969	B	m	attributive	NA	NA	NA	1	221	F.V. Bywater, A proficiency course in English
noble	s	C	pce	nonfiction	1969	B	a1	attributive	1	0	0	0	216	F.V. Bywater, A proficiency course in English
common	s	S	pce	nonfiction	1969	B	l	attributive	NA	NA	NA	0	75	F.V. Bywater, A proficiency course in English
common	s	S	pce	nonfiction	1969	B	m	attributive	NA	NA	NA	1	91	F.V. Bywater, A proficiency course in English
likely	a	C	pce	nonfiction	1969	B	b1	predicative	1	0	0	0	184	F.V. Bywater, A proficiency course in English
common	s	C	pce	nonfiction	1969	B	b1	predicative	1	0	0	0	231	F.V. Bywater, A proficiency course in English
common	s	C	pce	nonfiction	1969	B	b2	predicative	0	0	0	0	28	F.V. Bywater, A proficiency course in English
early	s	S	pce	nonfiction	1969	B	l	attributive	NA	NA	NA	0	34	F.V. Bywater, A proficiency course in English
common	s	S	pce	nonfiction	1969	B	l	attributive	NA	NA	NA	0	63	F.V. Bywater, A proficiency course in English
common	s	S	pce	nonfiction	1969	B	m	attributive	NA	NA	NA	1	207	F.V. Bywater, A proficiency course in English
common	s	S	pce	nonfiction	1969	B	l	attributive	NA	NA	NA	0	v	F.V. Bywater, A proficiency course in English
common	s	S	pce	nonfiction	1969	B	m	attributive	NA	NA	NA	1	135	F.V. Bywater, A proficiency course in English
common	s	S	pce	nonfiction	1969	B	m	attributive	NA	NA	NA	1	35	F.V. Bywater, A proficiency course in English
common	s	C	pce	nonfiction	1969	B	b2	predicative	0	0	0	0	205	F.V. Bywater, A proficiency course in English
common	s	S	pce	nonfiction	1969	B	l	attributive	NA	NA	NA	0	110	F.V. Bywater, A proficiency course in English
common	s	C	pce	nonfiction	1969	B	a2	attributive	0	0	0	0	69	F.V. Bywater, A proficiency course in English
lonely	s	C	pce	nonfiction	1969	B	i1	NA	NA	NA	NA	NA	109	F.V. Bywater, A proficiency course in English
common	s	S	pce	nonfiction	1969	B	l	attributive	NA	NA	NA	0	48	F.V. Bywater, A proficiency course in English
common	s	S	pce	nonfiction	1969	B	m	attributive	NA	NA	NA	1	127	F.V. Bywater, A proficiency course in English
